LPS|GNFR|E-PRTR/PRTR Facility ID|Height class|Longitude (deg)|Latitude (deg)|NOx (as NO2) (kt)|NMVOC (kt)|SOx (as SO2) (kt)|NH3 (kt)|PM2.5 (kt)|PM10 (kt)|CO (kt)|Pb (t)|Cd (t)|Hg (t)|PCDD/ PCDF (dioxins/ furans)(g I-Teq)|PAHs (t)|HCB (kg)|PCBs (kg)
Mark-E Aktiengesellschaft Cuno Heizkraftwerk|A_PublicPower|06-05-900-0125939|5|7,40852995342539|51,4015497216711|0,119|||||||||||||
Markus Dahl|K_AgriLivestock|06-05-774-0195608|1|8,79687101284203|51,5477304187687||||0,0151||||||||||
Martinswerk GmbH|B_Industry|06-05-300-0181417|1|6,6666520565427|50,9459336278585|0,218|||||||||||||
Mastbetrieb Menke KG|K_AgriLivestock|03-91-45902656580|1|7,90618579118135|52,5891564009498||||0,0337||||||||||
Mecklenburger Broiler-Farm GmbH|K_AgriLivestock|13-30-213|1|11,6904415856743|54,0437747830371||||0,0124||||||||||
Mecklenburger Broiler-Farm GmbH|K_AgriLivestock|13-30-1070137|1|11,7217065477166|54,0545956054195||||0,029||||||||||
MeierGuss Limburg GmbH|B_Industry|06-00060070533|2|8,04238293063887|50,4013462055862||||||||||||||
Meierjohann Friedrich|K_AgriLivestock|06-05-766-0168439|1|8,96242977180931|52,0211657686668||||0,0106||||||||||
Meinering GbR|K_AgriLivestock|03-88-45600304820|1|7,17060580751866|52,3922102204792||||0,0107||||||||||
Merten, Rudolf|K_AgriLivestock|06-05-570-0439408|1|7,88269035718752|51,9776151973153||||0,011||||||||||
Meyer, Andreas|K_AgriLivestock|06-05-554-0266835|1|6,9868023074935|52,1800339563514||||0,0177||||||||||
Meyer, Jürgen|K_AgriLivestock|03-85-45300616640|1|8,05544964416346|52,7533533275468||||0,012||||||||||
Mint of Finland GmbH|B_Industry|14-60-21700020000|1|13,338145111242|50,9586281746474||||||||||||||
Mochauer Landwirtschafts GmbH, SMA Präbschütz|K_AgriLivestock|14-65-58654160000|1|13,2093540551589|51,1245131560864||||0,0234||||||||||
Moritz J. Weig GmbH & Co. KG|B_Industry|07-01-126351|2|7,22082908523668|50,3135652224111|0,147|||||||||||||
Multi-Color Hann. Münden  Germany GmbH|E_Solvents|03-05-05231923950|1|9,64848546163432|51,4136008737518||0,162||||||||||||
Märker Kalk GmbH|B_Industry|06-08-2486806|2|9,90239159061011|48,4191138125981||||||||||||||
Märker Kalk GmbH|B_Industry|06-09-779-0083-0A30|2|10,6995916580212|48,7738013136216||||||||||||||
Märker Zement GmbH|B_Industry|06-09-779-0005-0030|2|10,7003167853336|48,7767324659855|0,349|||0,0443|||4,25|||0,0106||||
Möddel GbR|K_AgriLivestock|03-88-45602536500|1|7,22109176894669|52,4758187338265||||0,0223||||||||||
Mönchpfiffel Schweinemastbetriebs GmbH Schweinemastanlage Mönchpfiffel|K_AgriLivestock|16-82-76421920000|1|11,3824673871383|51,3714235989521||||0,0396||||||||||
Müllheizkraftwerk Bamberg|J_Waste|06-09-400-1433-0001|2|10,853800243636|49,911945403309||||||||||||||
Müllheizkraftwerk Burgkirchen|J_Waste|06-09-100-1000-0001|2|12,7346574695354|48,1851535028379||||||||||||||
Müllheizkraftwerk Kempten|J_Waste|06-09-700-0500-0001|2|10,3191030922049|47,7588634843541||||||||||||||
Müllheizkraftwerk Rothensee GmbH|J_Waste|15060|1|11,6803262226312|52,1852014179871|0,488|||||||||0,0103||||
Müllheizkraftwerk Würzburg|J_Waste|06-09-600-0026-0001|2|9,99459282188118|49,7926902242503|0,116|||||||||||||
Müllkraftwerk Schwandorf|J_Waste|06-09-300-0109-0001|2|12,087894295065|49,3100349557949|0,172||||||||0,0134|||||
Müllverbrennung Kiel GmbH & Co. KG - Müllheizkraftwerk Kiel|J_Waste|01-50-02000282800|2|10,1110669503614|54,3073253576429||||||||||||||
Müllverbrennungsanlage|J_Waste|06-09-500-2025-0002|2|11,0554678656298|49,4355256966054||||||||||||||
Müllverwertung Borsigstraße GmbH, (MVB)|J_Waste|06-02-B74518A001|2|10,0739970315482|53,5314303743073|0,255|||||||||||||
Müllverwertungsanlage Bonn GmbH|J_Waste|06-05-300-0362088|2|7,07750000287546|50,7336148391429|0,148|||||||||||||
NEUE HALBERG-GUSS GmbH|B_Industry|06-10-0079761|2|7,03587284439187|49,2104170284362||||||||||||||
NOEX AG Zerlegezentrum|J_Waste|06-05-100-0569551|3|6,61594495490748|51,0845063362531||||||||||||||
NOVA Weickelsdorf GmbH & Co. KG-Thierbach|K_AgriLivestock|12957|1|11,9696998874684|51,0498047903386||||0,0303||||||||||
Nachtmann GmbH, Werk Weiden|B_Industry|06-09-363-0007-0001|2|12,1635927395627|49,6970343756333|0,125|||||||||||||
Neichener Schweinehaltungs KG;  SMA Neichen|K_AgriLivestock|14-83-54708850000|1|12,7682024065338|51,2937112726868||||0,0194||||||||||
Niemeyer, Heinrich|K_AgriLivestock|03-85-45300962000|1|7,96558225579532|52,7703053298995||||0,0102||||||||||
Niersverband, Kläranlage Geldern|J_Waste|06-05-100-9021994|1|6,31367514935274|51,5425685679174||||||||||||||
Niersverband, Kläranlage Goch|J_Waste|06-05-100-9021995|1|6,15034730481431|51,6904340468153||||||||||||||
Niersverband, Kläranlage Grefrath|J_Waste|06-05-100-9021996|1|6,35460244455147|51,3467834645747||||||||||||||
Niersverband, Kläranlage Mönchengladbach-Neuwerk|J_Waste|06-05-100-9021998|1|6,46633537076978|51,2389709185173||||||||||||||
Noelle + von Campe GmbH & Co.KG|B_Industry|03-07-07000224040|2|9,39876580262597|51,7560393055625|0,104|||||||||||||
Nolte Holzwerkstoff GmbH & Co. KG|B_Industry|07-05-8308350|2|8,37670468533186|49,1993956553893|0,159|0,226||||||||||||
